Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,KentField Marine,KFHDT329,Desktop,KFH\schoetso,Microsoft Windows 11 Pro 10.0.26100,5QGTK44,KFHDT329,2025-03-26T23:57:26Z,"20:88:10:B2:99:D4, 5C:B2:6D:16:63:27, 5C:B2:6D:16:63:2B",Intel(R) Core(TM) i5-14500T
Online,KentField Marine,KFHDT330,Desktop,KFH\bho,Microsoft Windows 11 Pro 10.0.26100,4QGTK44,KFHDT330,2025-03-26T23:57:26Z,"5C:B2:6D:25:3A:EB, 20:88:10:B2:9B:50, 5C:B2:6D:25:3A:EF",Intel(R) Core(TM) i5-14500T
Online,KentField Marine,KFHDT331,Desktop,KFH\lbhutia,Microsoft Windows 11 Pro 10.0.22631,2RGTK44,KFHDT331,2025-03-26T23:57:26Z,"20:88:10:B2:A8:63, 5C:B2:6D:16:92:CA, 5C:B2:6D:16:92:CE",Intel(R) Core(TM) i5-14500T
Online,KentField Marine,KFHDT332,Desktop,KFH\LMOLINA,Microsoft Windows 11 Pro 10.0.26100,4NGTK44,KFHDT332,2025-03-26T23:57:26Z,"5C:B2:6D:25:3A:7D, 20:88:10:B2:9D:57, 5C:B2:6D:25:3A:81",Intel(R) Core(TM) i5-14500T
Online,KentField Marine,KFHDT334,Desktop,KFH\sghartimagar,Microsoft Windows 11 Pro 10.0.26100,4VQB8Y3,KFHDT334,2025-03-26T23:57:26Z,"6C:3C:8C:4F:D2:41, C4:3D:1A:C1:54:2A, C4:3D:1A:C1:54:26",13th Gen Intel(R) Core(TM) i5-13500T
Online,KentField Marine,KFHDT335,Desktop,KFH\sbasnet,Microsoft Windows 11 Pro 10.0.26100,JMQKRY3,SUPPORT-MARINE,2025-03-26T23:57:26Z,"6C:3C:8C:5A:F0:85, 48:AD:9A:59:CC:B6, 48:AD:9A:59:CC:BA",13th Gen Intel(R) Core(TM) i5-13500T
Online,KentField Marine,KFHDT336,Desktop,KFH\JREGAN,Microsoft Windows 11 Pro 10.0.26100,F7FW474,KFHDT336,2025-03-26T23:57:26Z,"00:72:EE:5A:8B:1A, D0:46:0C:AC:2D:C3, 00:72:EE:5A:8B:1E",12th Gen Intel(R) Core(TM) i5-12500T
Online,KentField Marine,KFHDT337,Desktop,KFH\sbasnet,Microsoft Windows 11 Pro 10.0.26100,31L3P23,KFHDT337,2025-03-26T23:57:26Z,E4:54:E8:D0:D1:44,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz
Online,KentField Marine,KFHDT39,Desktop,KFH\aadrineda,Microsoft Windows 11 Pro 10.0.22000,FVMFRR2,KFHDT219,2025-03-26T23:57:26Z,D8:9E:F3:7E:7B:C9,Intel(R) Core(TM) i7-6700T CPU @ 2.80GHz
Online,KentField Marine,KFHLT225,Laptop,KFH\pjr,Microsoft Windows 11 Pro 10.0.26100,FZXV9K3,KFHDT225,2025-03-26T23:57:26Z,"2C:6D:C1:73:B3:EC, A0:29:19:48:E3:E0",11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz
Offline,KentField Marine,KFHLT226,Laptop,KFH\ytsegai,Microsoft Windows 11 Pro 10.0.26100,GXQV9K3,KFHDT226,2025-03-26T23:12:35Z,"D4:54:8B:02:43:06, A0:29:19:48:FE:60",11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz
Offline,KentField Marine,KFHLT227,Laptop,KFH\amahajan,Microsoft Windows 11 Pro 10.0.26100,9SYV9K3,KFHLT227,2025-03-26T23:17:38Z,"2C:6D:C1:75:00:DA, A0:29:19:48:E3:E2",11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz
Offline,KentField Marine,KFHLT228,Laptop,KFH\cmickolich,Microsoft Windows 10 Pro 10.0.19045,1210VN2,KFHLT228,2025-03-08T21:36:17Z,"C6:19:EB:28:FF:83, 10:65:30:4C:15:C5, 38:DE:AD:AE:78:41",Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz
Offline,KentField Marine,KFHLT234,Laptop,KFH\echao,Microsoft Windows 11 Pro 10.0.26100,81TV9K3,KFHLT234,2025-03-26T23:29:14Z,"D4:54:8B:02:48:AB, A0:29:19:49:03:34, D4:54:8B:02:48:AF",11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz
Offline,KentField Marine,KFHLT245,Laptop,KFH\mbuhler,Microsoft Windows 11 Pro 10.0.22631,3RDK6G3,KFHLAP1,2025-03-26T23:54:13Z,"38:14:28:71:84:D1, 0C:9A:3C:D5:1F:BA, 0C:9A:3C:D5:1F:BE",11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
Offline,KentField Marine,KFHLT253,Laptop,KFH\moak,Microsoft Windows 11 Pro 10.0.26100,3XHRVH3,KFHLT253,2025-03-22T01:17:57Z,"14:AC:60:1A:DD:53, 14:AC:60:1A:DD:54",11th Gen Intel(R) Core(TM) i5-1155G7 @ 2.50GHz
Offline,KentField Marine,KFHLT256,Laptop,KFH\aadrineda,Microsoft Windows 11 Pro 10.0.26100,HBM46D3,KFHLT256,2025-03-25T19:00:30Z,"F0:9E:4A:22:C4:91, 74:78:27:6A:94:63",11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
Offline,KentField Marine,kfhlt261,Laptop,KFH\hvisser,Microsoft Windows 11 Pro 10.0.22631,93014441E,kfhlt261,2025-03-09T00:38:26Z,"2C:3B:70:C1:89:7C, BC:EC:A0:02:46:AC, 2C:3B:70:C1:89:7D",Intel(R) Celeron(R) 7305
Offline,KentField Marine,KFHLT262,Laptop,KFH\asadp,Microsoft Windows 11 Pro 10.0.26100,JP5V733,KFHIT1,2025-03-11T14:02:46Z,"74:D8:3E:D4:1F:70, 74:D8:3E:D4:1F:74, 34:48:ED:D2:11:C8",Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz
Offline,KentField Marine,KFHLT264,Laptop,KFH\aambrosio,Microsoft Windows 11 Pro N 10.0.22621,D7SFVW3,KFHLT264,2025-02-06T00:16:26Z,"2C:98:11:74:57:A5, 2C:98:11:74:57:A6",12th Gen Intel(R) Core(TM) i5-1235U
Offline,KentField Marine,KFHLT267,Laptop,KFH\cmickolich,Microsoft Windows 11 Pro 10.0.26100,J9V3514,KFHLT267,2025-03-26T20:20:21Z,58:CD:C9:B8:5B:E3,12th Gen Intel(R) Core(TM) i5-1235U
Offline,KentField Marine,KFHLT268,Laptop,KFH\jolson,Microsoft Windows 11 Pro 10.0.26100,1QD6514,KFHLT268,2025-03-26T20:14:27Z,"58:CD:C9:B7:AF:83, 58:CD:C9:B7:AF:84",12th Gen Intel(R) Core(TM) i5-1235U
Online,KentField Marine,KFHLT270,Laptop,KFH\aadrineda,Microsoft Windows 11 Pro 10.0.26100,65KCRV2,KFHLT270,2025-03-26T23:57:26Z,"C8:F7:50:79:A0:54, A0:51:0B:1C:72:E9",Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
Offline,KentField Marine,KFHLT272,Laptop,KFH\nmeena,Microsoft Windows 11 Pro 10.0.22631,DGMMVW3,KFHLT272,2025-03-26T23:44:13Z,"2C:98:11:3F:6A:A9, 2C:98:11:3F:6A:AA",12th Gen Intel(R) Core(TM) i5-1235U
Offline,KentField Marine,KFHLT273,Laptop,KFH\hbrana,Microsoft Windows 11 Pro 10.0.26100,6JC2QN3,KFHLT273,2025-03-19T01:55:08Z,"4C:44:5B:2C:2B:08, 08:92:04:1C:C1:90",11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz
Offline,KentField Marine,KFHLT274,Laptop,KFH\kgetty,Microsoft Windows 11 Pro 10.0.22631,899KVW3,KFHLT274,2025-03-26T23:32:06Z,"2C:98:11:69:AD:C9, 2C:98:11:69:AD:CA, 00:0E:C6:6C:0D:DE",12th Gen Intel(R) Core(TM) i5-1235U
Offline,KentField Marine,KFHLT275,Laptop,KFH\jsmith,Microsoft Windows 11 Pro 10.0.22631,B4ZMVW3,KFHLT275,2025-03-06T17:21:50Z,"2C:98:11:73:C7:CD, 2C:98:11:73:C7:CE",12th Gen Intel(R) Core(TM) i5-1235U
Offline,KentField Marine,KFHLT276,Laptop,KFH\juy,Microsoft Windows 11 Pro 10.0.26100,9ZH2514,KFHLT276,2025-03-26T21:41:05Z,"58:CD:C9:B8:5D:47, 58:CD:C9:B8:5D:48",12th Gen Intel(R) Core(TM) i5-1235U
Online,KentField Marine,KFHLT277,Laptop,KFH\skumar,Microsoft Windows 11 Pro 10.0.26100,7NCQQG3,KFHLT269,2025-03-26T23:57:26Z,"B4:45:06:03:53:E4, 48:51:C5:C8:D6:92, 48:51:C5:C8:D6:96",Intel(R) Celeron(R) N4100 CPU @ 1.10GHz
Online,KentField Marine,KFHLT278,Laptop,KFH\awoods,Microsoft Windows 11 Pro 10.0.26100,6SL3854,KFHLT278,2025-03-26T23:57:26Z,"44:FA:66:C5:9C:21, 44:FA:66:C5:9C:22",12th Gen Intel(R) Core(TM) i5-1235U
Offline,KentField Marine,KFHLT279,Laptop,KFH\erocas,Microsoft Windows 11 Pro 10.0.22621,95SVS54,DESKTOP-B702EO0,2025-03-26T22:45:37Z,"44:A9:2C:58:56:25, C4:47:4E:8B:32:56, C4:47:4E:8B:32:5A",Intel(R) Core(TM) 7 150U
Online,KentField Marine,KFHLT281,Laptop,KFH\jgomez,Microsoft Windows 11 Pro 10.0.22621,1CC9S64,DESKTOP-UMVRIUB,2025-03-26T23:57:26Z,"44:A9:2C:58:55:B2, BC:38:98:2C:87:CE, BC:38:98:2C:87:D2",Intel(R) Core(TM) 7 150U
Online,KentField Marine,KFHLT282,Laptop,KFH\yvasquez,Microsoft Windows 11 Pro 10.0.22621,CNRVS54,DESKTOP-FKVD4QQ,2025-03-26T23:57:26Z,"44:A9:2C:58:56:25, C4:47:4E:89:79:ED, 44:A9:2C:58:55:B2, C4:47:4E:89:79:F1",Intel(R) Core(TM) 7 150U
Offline,KentField Marine,KFHLT283,Laptop,KFH\acazar,Microsoft Windows 11 Pro 10.0.22631,C7H9S64,KFHLT283,2025-03-26T22:01:42Z,"44:A9:2C:52:53:56, BC:38:98:29:E5:46, BC:38:98:29:E5:4A",Intel(R) Core(TM) 7 150U
Online,KentField Marine,KFHLT284,Laptop,KFH\bgurung,Microsoft Windows 11 Pro 10.0.22621,FVDTS54,KFHLT284,2025-03-26T23:57:26Z,"C4:47:4E:67:A3:C7, C4:47:4E:67:A3:CB, 44:A9:2C:52:53:C7",Intel(R) Core(TM) 7 150U
Offline,KentField Marine,KFHLT285,Laptop,KFH\kwang,Microsoft Windows 11 Education 10.0.26100,5SMLM74,KFHLT285,2025-03-26T22:34:54Z,"C8:A3:E8:22:17:57, C8:A3:E8:22:17:58",12th Gen Intel(R) Core(TM) i7-1255U
Offline,KentField Marine,KFHLT286,Laptop,KFH\hyee,Microsoft Windows 11 Education 10.0.26100,CFBLM74,KFHLT286,2025-03-26T20:13:54Z,"C8:A3:E8:22:C0:61, C8:A3:E8:22:C0:62",12th Gen Intel(R) Core(TM) i7-1255U
Offline,KentField Marine,KFHLT287,Laptop,KFH\achew,Microsoft Windows 11 Education 10.0.26100,J4C9S64,DESKTOP-U3DQPC5,2025-03-26T23:38:32Z,"44:A9:2C:58:55:A4, BC:38:98:36:1C:61, BC:38:98:36:1C:5D, 44:A9:2C:58:55:A4",Intel(R) Core(TM) 7 150U
Online,KentField Marine,KFH_EP_Evaluator,Server,KFH\rpatel,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-42 0c dd c2 3a aa 0e 69-24 43 15 57 9c 5b b7 c0,KFH_EP_Evaluator,2025-03-26T23:57:26Z,00:50:56:8C:0D:93,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online,KentField Marine,KFH_TELCOR-I-STAT,Server,KFH\rpatel,Microsoft Windows Server 2016 Standard 10.0.14393,VMware-56 4d 6c e5 85 56 0c bc-73 ba de 03 88 8d 69 05,WIN-UVTPUFSURVI,2025-03-26T23:57:26Z,00:0C:29:8D:69:05,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online,KentField Marine,KFH_TELCOR_QML,Server,KFH_TELCOR_QML\Administrator,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-42 0c 03 72 1d 0e f0 25-fc 8f ba 8d 85 d9 01 cb,KFH_TELCOR_QML,2025-03-26T23:57:26Z,00:50:56:8C:C6:CA,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
