Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,Orchard Hospital,OH1603,Desktop,BGMH\PMaldonado,Microsoft Windows 10 Business 10.0.19045,8CG73949YY,OH1603,2025-03-26T23:58:48Z,"AC:E2:D3:02:7F:3F, CC:2F:71:05:38:90, CC:2F:71:05:38:94",Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz
Online,Orchard Hospital,OH1604,Desktop,BGMH\dgutierrez,Microsoft Windows 10 Business 10.0.19045,2MD5291BQT,OH1604,2025-03-26T23:58:48Z,"D8:97:BA:80:AC:65, 70:77:81:A0:52:19",Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz
Online,Orchard Hospital,OH1607,Desktop,BGMH\bdubiel,Microsoft Windows 10 Business 10.0.19045,PC055636,OH1607,2025-03-26T23:58:48Z,90:FB:A6:79:BE:84,Intel(R) Core(TM) i5-4460S CPU @ 2.90GHz
Online,Orchard Hospital,OH1608,Desktop,BGMH\bjones,Microsoft Windows 10 Business 10.0.19045,PBMZ317,OH1608,2025-03-26T23:58:48Z,8C:89:A5:B9:77:41,Intel(R) Pentium(R) CPU G630 @ 2.70GHz
Offline,Orchard Hospital,OH1609,Desktop,BGMH\bdubiel,Microsoft Windows 10 Business 10.0.19045,PBMZ328,OH1609,2025-01-29T20:51:43Z,8C:89:A5:B9:76:F6,Intel(R) Pentium(R) CPU G630 @ 2.70GHz
Offline,Orchard Hospital,OH1610,Desktop,,Microsoft Windows 10 Pro 10.0.19045,PBMZ322,OH1610,2025-03-03T17:28:31Z,8C:89:A5:B9:76:FE,Intel(R) Pentium(R) CPU G630 @ 2.70GHz
Online,Orchard Hospital,OH1611,Desktop,BGMH\sdiaz,Microsoft Windows 10 Business 10.0.19045,MJRAZZV,OH1611,2025-03-26T23:58:48Z,"D4:3D:7E:12:AA:4F, 00:09:0F:FE:00:01, 00:09:0F:AA:00:01",Intel(R) Pentium(R) CPU G850 @ 2.90GHz
Offline,Orchard Hospital,OH1613,Desktop,BGMH\scampos,Microsoft Windows 10 Business 10.0.19045,MJ0BEX7X,OH1613,2025-03-26T23:07:58Z,A4:AE:11:17:CF:97,Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz
Online,Orchard Hospital,OH1614,Desktop,BGMH\dtanner,Microsoft Windows 10 Pro 10.0.19045,1GYHNV1,OH1614,2025-03-26T23:58:48Z,A4:1F:72:50:C7:F3,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,Orchard Hospital,OH1615,Laptop,BGMH\lvelazquez,Microsoft Windows 10 Business 10.0.19045,3XY5ZJ3,OH1615,2025-03-26T23:58:48Z,"00:24:32:A0:91:6A, C8:94:02:CE:66:DE, C8:94:02:CE:66:DD, 00:09:0F:FE:00:01, 00:09:0F:AA:00:01",11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
Offline,Orchard Hospital,OH1616,Desktop,BGMH\cfoley,Microsoft Windows 10 Pro 10.0.19045,5FYHNV1,OH1616,2025-03-26T23:03:10Z,A4:1F:72:50:C7:A2,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,Orchard Hospital,OH1617,Desktop,BGMH\wdubiel,Microsoft Windows 11 Business 10.0.26100,MJ09SG5Z,OH1617,2025-03-26T23:58:48Z,6C:4B:90:B8:78:FA,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz
Online,Orchard Hospital,OH1623,Desktop,BGMH\mnewton,Microsoft Windows 10 Business 10.0.19045,3611XM3,OH1623,2025-03-26T23:58:48Z,"B0:4F:13:10:BE:39, C4:BD:E5:82:B5:EA, C4:BD:E5:82:B5:EE",Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz
Online,Orchard Hospital,OH1625,Desktop,BGMH\cweil,Microsoft Windows 10 Business 10.0.19045,C8LZQ53,OH1625,2025-03-26T23:58:48Z,A4:BB:6D:B7:BC:C9,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz
